theater,title,theater_film_link,dates,director,year,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cineteca Madrid,Eva al desnudo,https://www.cinetecamadrid.com/programacion/eva-al-desnudo-0,"[{'timestamp': '2026-02-03 20:00', 'location': 'Cineteca Madrid', 'url': ''}]",Joseph L. Mankiewicz,1950,https://letterboxd.com/film/all-about-eve/,4.4,
Cineteca Madrid,Stalker,https://www.cinetecamadrid.com/programacion/stalker-0,"[{'timestamp': '2026-02-19 20:00', 'location': 'Cineteca Madrid', 'url': ''}]",Andréi Tarkovski,1979,https://letterboxd.com/film/stalker/,4.4,
Cineteca Madrid,Conferencia de José Luis Pardo + Tiempos modernos,https://www.cinetecamadrid.com/programacion/conferencia-de-jose-luis-pardo-tiempos-modernos,"[{'timestamp': '2026-02-14 19:00', 'location': 'Cineteca Madrid', 'url': ''}]",Charles Chaplin,1936,https://letterboxd.com/film/modern-times/,4.3,
Cineteca Madrid,Los espigadores y la espigadora,https://www.cinetecamadrid.com/programacion/los-espigadores-y-la-espigadora-0,"[{'timestamp': '2026-02-17 20:00', 'location': 'Cineteca Madrid', 'url': ''}]",Agnès Varda,2000,https://letterboxd.com/film/the-gleaners-and-i/,4.3,
Cineteca Madrid,Conferencia de Marta Sanz + All That Jazz (Empieza el espectáculo),https://www.cinetecamadrid.com/programacion/conferencia-de-marta-sanz-all-jazz-empieza-el-espectaculo,"[{'timestamp': '2026-02-06 19:00', 'location': 'Cineteca Madrid', 'url': ''}]",Bob Fosse,1979,https://letterboxd.com/film/all-that-jazz/,4.3,
Cine Doré,Los espigadores y la espigadora,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/los-espigadores-y-la-espigadora,"[{'timestamp': '2026-02-22 19:00', 'location': 'Cine Doré', 'url': ''}]",Agnès Varda,2000,https://letterboxd.com/film/the-gleaners-and-i/,4.3,
Cine Doré,Carga maldita,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/carga-maldita,"[{'timestamp': '2026-02-06 19:00', 'location': 'Cine Doré', 'url': ''}]",William Friedkin,1977,https://letterboxd.com/film/sorcerer/,4.3,
Cine Doré,Un asunto de familia,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/un-asunto-de-familia-8,"[{'timestamp': '2026-02-11 19:00', 'location': 'Cine Doré', 'url': ''}]",Hirokazu Koreeda,2018,https://letterboxd.com/film/shoplifters/,4.3,
Cine Doré,¡Olvídate de mí!,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/olvidate-de-mi,"[{'timestamp': '2026-02-14 19:00', 'location': 'Cine Doré', 'url': ''}]",Michel Gondry,2004,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,4.2,
Cine Doré,Las uvas de la ira,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/las-uvas-de-la-ira,"[{'timestamp': '2026-02-15 19:00', 'location': 'Cine Doré', 'url': ''}]",John Ford,1940,https://letterboxd.com/film/the-grapes-of-wrath/,4.2,
